iter	Passed	Remaining
0	147	147055
1	148	74028
2	149	49835
3	151	37623
4	151	30240
5	152	25342
6	153	21825
7	154	19187
8	155	17135
9	156	15471
10	157	14121
11	157	12985
12	158	12021
13	159	11198
14	159	10490
15	160	9866
16	161	9314
17	161	8826
18	162	8391
19	163	7998
20	164	7648
21	164	7322
22	165	7031
23	166	6758
24	166	6509
25	167	6277
26	168	6070
27	169	5869
28	169	5684
29	170	5512
30	171	5355
31	172	5205
32	172	5063
33	173	4928
34	174	4802
35	174	4682
36	175	4569
37	176	4463
38	176	4361
39	177	4263
40	178	4173
41	179	4085
42	179	4003
43	180	3926
44	181	3852
45	182	3783
46	183	3714
47	183	3648
48	184	3583
49	185	3520
50	185	3460
51	186	3402
52	187	3345
53	187	3291
54	188	3240
55	189	3190
56	190	3143
57	190	3096
58	191	3051
59	191	3007
60	192	2965
61	193	2926
62	194	2887
63	194	2849
64	195	2814
65	196	2779
66	197	2743
67	197	2704
68	198	2671
69	198	2640
70	199	2608
71	200	2577
72	200	2548
73	201	2519
74	201	2491
75	202	2463
76	203	2437
77	204	2411
78	204	2386
79	205	2361
80	205	2336
81	206	2315
82	207	2292
83	208	2270
84	208	2246
85	212	2256
86	212	2233
87	213	2211
88	214	2191
89	214	2172
90	215	2152
91	216	2134
92	216	2116
93	217	2097
94	218	2080
95	219	2062
96	219	2044
97	220	2027
98	220	2010
99	221	1994
100	222	1978
101	222	1959
102	223	1944
103	224	1929
104	224	1916
105	225	1902
106	226	1888
107	227	1874
108	227	1861
109	228	1847
110	228	1833
111	229	1820
112	230	1807
113	230	1794
114	231	1782
115	232	1769
116	232	1756
117	233	1744
118	233	1731
119	234	1721
120	235	1710
121	236	1699
122	236	1685
123	237	1675
124	237	1665
125	238	1655
126	239	1645
127	239	1634
128	240	1625
129	241	1615
130	242	1605
131	242	1596
132	243	1586
133	244	1577
134	244	1568
135	245	1559
136	246	1550
137	246	1540
138	247	1532
139	247	1523
140	248	1514
141	249	1506
142	249	1498
143	250	1489
144	251	1481
145	252	1474
146	252	1467
147	253	1460
148	254	1453
149	255	1445
150	255	1438
151	256	1431
152	257	1424
153	258	1417
154	258	1410
155	259	1403
156	260	1396
157	260	1389
158	261	1382
159	262	1375
160	262	1368
161	263	1361
162	263	1355
163	264	1348
164	265	1342
165	265	1335
166	266	1329
167	267	1324
168	268	1318
169	268	1313
170	269	1307
171	270	1302
172	271	1296
173	271	1291
174	272	1285
175	273	1279
176	274	1274
177	274	1268
178	275	1263
179	276	1257
180	276	1250
181	277	1245
182	277	1239
183	278	1234
184	279	1229
185	279	1224
186	280	1219
187	281	1214
188	281	1209
189	282	1204
190	283	1199
191	283	1194
192	284	1189
193	285	1185
194	286	1181
195	286	1176
196	287	1172
197	288	1168
198	289	1163
199	289	1159
200	290	1154
201	291	1150
202	291	1145
203	292	1141
204	293	1136
205	293	1132
206	294	1128
207	295	1124
208	295	1120
209	296	1115
210	297	1111
211	298	1107
212	298	1103
213	299	1099
214	300	1095
215	300	1091
216	301	1087
217	302	1083
218	302	1079
219	303	1075
220	303	1071
221	304	1067
222	305	1063
223	305	1059
224	306	1055
225	307	1051
226	307	1048
227	308	1044
228	309	1041
229	309	1037
230	310	1034
231	311	1030
232	311	1026
233	312	1023
234	313	1019
235	313	1016
236	314	1012
237	315	1009
238	315	1005
239	316	1003
240	317	999
241	318	996
242	318	993
243	319	989
244	320	986
245	320	983
246	321	979
247	322	976
248	322	973
249	323	970
250	324	967
251	324	964
252	325	961
253	326	958
254	327	955
255	327	952
256	328	949
257	328	946
258	329	942
259	330	939
260	331	937
261	331	934
262	332	931
263	333	928
264	333	925
265	334	922
266	335	920
267	335	917
268	336	914
269	337	911
270	338	909
271	338	906
272	339	904
273	340	901
274	341	899
275	341	897
276	342	894
277	343	892
278	344	890
279	345	887
280	346	885
281	346	883
282	347	880
283	348	878
284	349	875
285	349	872
286	350	870
287	350	867
288	351	865
289	352	863
290	353	860
291	354	858
292	354	855
293	355	853
294	356	850
295	356	848
296	357	846
297	358	843
298	358	841
299	359	838
300	360	836
301	360	833
302	361	831
303	362	829
304	363	827
305	363	825
306	364	822
307	365	820
308	365	818
309	366	816
310	367	813
311	368	811
312	368	809
313	369	807
314	370	805
315	370	802
316	371	800
317	372	798
318	372	796
319	373	793
320	374	791
321	374	789
322	375	787
323	376	785
324	377	783
325	377	781
326	378	779
327	379	777
328	380	775
329	381	773
330	381	771
331	382	770
332	383	768
333	384	766
334	385	764
335	386	763
336	386	761
337	387	759
338	388	757
339	389	755
340	390	754
341	391	752
342	392	750
343	392	749
344	393	747
345	394	745
346	395	743
347	395	741
348	396	739
349	397	737
350	397	735
351	398	733
352	398	731
353	399	729
354	400	727
355	401	725
356	401	723
357	402	721
358	403	719
359	403	717
360	404	715
361	405	713
362	405	712
363	406	710
364	407	708
365	408	707
366	408	705
367	409	703
368	410	701
369	410	699
370	411	697
371	412	695
372	412	693
373	413	692
374	414	690
375	414	688
376	415	686
377	416	684
378	416	682
379	417	681
380	418	679
381	418	677
382	419	675
383	420	674
384	420	672
385	421	670
386	422	669
387	423	667
388	424	666
389	424	664
390	425	663
391	426	661
392	427	659
393	428	658
394	428	656
395	429	654
396	430	653
397	430	651
398	431	650
399	432	648
400	433	646
401	433	645
402	434	643
403	435	641
404	436	640
405	436	639
406	437	637
407	438	636
408	439	634
409	439	633
410	440	631
411	441	629
412	442	628
413	442	626
414	443	625
415	444	624
416	445	623
417	446	622
418	447	621
419	448	619
420	450	618
421	450	617
422	452	616
423	453	615
424	454	614
425	454	612
426	455	611
427	456	609
428	456	607
429	457	606
430	458	604
431	458	603
432	459	601
433	460	600
434	460	598
435	461	596
436	462	595
437	462	593
438	463	592
439	464	590
440	464	589
441	465	587
442	466	586
443	467	584
444	467	583
445	468	582
446	469	580
447	470	579
448	470	577
449	471	576
450	472	574
451	472	573
452	473	571
453	474	570
454	475	569
455	475	567
456	476	566
457	476	564
458	477	563
459	478	561
460	479	560
461	479	558
462	480	557
463	481	556
464	482	554
465	482	553
466	483	551
467	484	550
468	485	549
469	485	547
470	486	546
471	486	544
472	487	543
473	488	541
474	488	540
475	489	538
476	490	537
477	490	536
478	491	534
479	492	533
480	492	531
481	493	530
482	494	529
483	495	528
484	495	526
485	496	525
486	497	524
487	498	522
488	499	521
489	500	520
490	500	519
491	501	518
492	502	516
493	503	515
494	504	514
495	504	512
496	505	511
497	506	510
498	507	509
499	507	507
500	508	506
501	509	505
502	510	504
503	510	502
504	511	501
505	512	500
506	512	498
507	513	497
508	514	496
509	515	495
510	515	493
511	516	492
512	517	491
513	518	489
514	518	488
515	519	487
516	520	485
517	520	484
518	521	483
519	522	481
520	522	480
521	523	479
522	524	477
523	524	476
524	525	475
525	526	474
526	526	472
527	527	471
528	528	470
529	528	468
530	529	467
531	530	466
532	530	465
533	531	463
534	532	462
535	532	461
536	533	459
537	534	458
538	534	457
539	535	456
540	536	455
541	537	453
542	537	452
543	538	451
544	539	450
545	540	449
546	540	447
547	541	446
548	542	445
549	542	444
550	543	442
551	544	441
552	545	440
553	546	439
554	546	438
555	547	437
556	548	436
557	548	434
558	549	433
559	550	432
560	551	431
561	551	430
562	552	428
563	553	427
564	553	426
565	554	425
566	555	423
567	555	422
568	556	421
569	557	420
570	557	418
571	558	417
572	559	416
573	559	415
574	560	414
575	561	413
576	561	411
577	562	410
578	563	409
579	563	408
580	564	407
581	565	405
582	565	404
583	566	403
584	567	402
585	567	401
586	568	399
587	569	398
588	569	397
589	570	396
590	571	395
591	571	394
592	572	392
593	573	391
594	573	390
595	574	389
596	575	388
597	575	387
598	576	385
599	577	384
600	578	383
601	578	382
602	579	381
603	580	380
604	580	379
605	581	378
606	582	377
607	582	375
608	583	374
609	584	373
610	584	372
611	585	371
612	586	370
613	587	369
614	587	368
615	588	366
616	589	365
617	590	364
618	590	363
619	591	362
620	592	361
621	592	360
622	593	359
623	594	357
624	594	356
625	595	355
626	596	354
627	596	353
628	597	352
629	598	351
630	598	350
631	599	348
632	599	347
633	600	346
634	601	345
635	601	344
636	602	343
637	603	342
638	603	341
639	604	340
640	605	339
641	606	337
642	606	336
643	607	335
644	607	334
645	608	333
646	609	332
647	610	331
648	610	330
649	611	329
650	612	328
651	612	327
652	613	325
653	614	324
654	614	323
655	615	322
656	616	321
657	616	320
658	617	319
659	617	318
660	618	317
661	619	316
662	619	315
663	620	314
664	621	313
665	622	312
666	622	310
667	623	309
668	624	308
669	624	307
670	625	306
671	626	305
672	626	304
673	627	303
674	628	302
675	628	301
676	629	300
677	630	299
678	630	298
679	631	297
680	632	296
681	632	295
682	633	293
683	634	292
684	634	291
685	635	290
686	636	289
687	636	288
688	637	287
689	638	286
690	639	285
691	639	284
692	640	283
693	641	282
694	641	281
695	642	280
696	643	279
697	643	278
698	644	277
699	645	276
700	645	275
701	646	274
702	646	273
703	647	272
704	648	271
705	648	270
706	649	269
707	650	268
708	650	267
709	651	266
710	652	265
711	652	264
712	653	263
713	654	262
714	654	261
715	655	260
716	656	258
717	656	257
718	657	256
719	658	255
720	658	254
721	659	253
722	660	252
723	660	251
724	661	250
725	661	249
726	662	248
727	663	247
728	663	246
729	664	245
730	665	244
731	665	243
732	666	242
733	667	241
734	668	240
735	669	239
736	669	238
737	670	237
738	671	237
739	671	236
740	672	235
741	673	234
742	673	233
743	674	232
744	675	231
745	675	230
746	676	229
747	677	228
748	677	227
749	678	226
750	679	225
751	679	224
752	680	223
753	681	222
754	682	221
755	683	220
756	683	219
757	684	218
758	685	217
759	685	216
760	686	215
761	687	214
762	688	213
763	688	212
764	689	211
765	690	210
766	691	209
767	691	208
768	692	207
769	693	207
770	693	206
771	694	205
772	695	204
773	695	203
774	696	202
775	697	201
776	698	200
777	698	199
778	699	198
779	700	197
780	701	196
781	701	195
782	702	194
783	703	193
784	703	192
785	704	191
786	705	190
787	705	189
788	706	188
789	707	188
790	708	187
791	708	186
792	709	185
793	710	184
794	710	183
795	711	182
796	712	181
797	713	180
798	714	179
799	714	178
800	715	177
801	716	176
802	716	175
803	717	174
804	718	173
805	718	172
806	719	172
807	719	171
808	720	170
809	721	169
810	721	168
811	722	167
812	723	166
813	723	165
814	724	164
815	725	163
816	726	162
817	727	161
818	728	160
819	729	160
820	729	159
821	730	158
822	731	157
823	731	156
824	732	155
825	733	154
826	733	153
827	734	152
828	735	151
829	735	150
830	736	149
831	737	148
832	737	147
833	738	146
834	739	146
835	740	145
836	740	144
837	741	143
838	742	142
839	743	141
840	744	140
841	745	139
842	745	138
843	746	138
844	747	137
845	748	136
846	748	135
847	749	134
848	750	133
849	750	132
850	751	131
851	752	130
852	752	129
853	753	128
854	754	127
855	755	127
856	755	126
857	756	125
858	757	124
859	758	123
860	758	122
861	759	121
862	760	120
863	761	119
864	762	119
865	763	118
866	764	117
867	764	116
868	765	115
869	766	114
870	767	113
871	767	112
872	768	111
873	769	110
874	769	109
875	770	109
876	771	108
877	771	107
878	772	106
879	773	105
880	774	104
881	774	103
882	775	102
883	776	101
884	776	100
885	777	100
886	778	99
887	779	98
888	780	97
889	780	96
890	781	95
891	782	94
892	783	93
893	784	92
894	785	92
895	785	91
896	786	90
897	787	89
898	788	88
899	789	87
900	789	86
901	790	85
902	791	85
903	792	84
904	792	83
905	793	82
906	794	81
907	795	80
908	795	79
909	796	78
910	797	77
911	798	77
912	799	76
913	799	75
914	800	74
915	801	73
916	802	72
917	803	71
918	804	70
919	804	69
920	805	69
921	806	68
922	807	67
923	808	66
924	808	65
925	809	64
926	810	63
927	810	62
928	811	62
929	812	61
930	813	60
931	813	59
932	814	58
933	815	57
934	815	56
935	816	55
936	816	54
937	817	54
938	818	53
939	819	52
940	819	51
941	820	50
942	821	49
943	821	48
944	822	47
945	823	46
946	823	46
947	824	45
948	825	44
949	826	43
950	827	42
951	827	41
952	828	40
953	828	39
954	829	39
955	830	38
956	831	37
957	831	36
958	832	35
959	833	34
960	834	33
961	834	32
962	835	32
963	836	31
964	836	30
965	837	29
966	838	28
967	838	27
968	839	26
969	840	25
970	841	25
971	841	24
972	842	23
973	842	22
974	843	21
975	844	20
976	845	19
977	845	19
978	846	18
979	847	17
980	847	16
981	848	15
982	849	14
983	849	13
984	850	12
985	851	12
986	852	11
987	852	10
988	853	9
989	854	8
990	855	7
991	855	6
992	856	6
993	857	5
994	857	4
995	858	3
996	859	2
997	859	1
998	860	0
999	861	0
