iter	Passed	Remaining
0	0	830
1	1	728
2	2	686
3	2	658
4	3	649
5	3	630
6	4	618
7	4	611
8	5	602
9	6	604
10	6	612
11	7	609
12	8	608
13	8	607
14	9	601
15	9	600
16	10	595
17	10	588
18	11	586
19	11	581
20	12	581
21	13	583
22	13	582
23	14	581
24	14	580
25	15	576
26	15	574
27	16	572
28	17	569
29	17	568
30	18	566
31	18	566
32	19	567
33	20	569
34	20	568
35	21	567
36	21	565
37	22	563
38	22	561
39	23	560
40	23	559
41	24	557
42	25	557
43	25	558
44	26	558
45	26	557
46	27	555
47	27	554
48	28	555
49	29	555
50	29	554
51	30	553
52	30	553
53	31	553
54	32	552
55	32	551
56	33	549
57	33	548
58	34	547
59	34	547
60	35	545
61	36	545
62	36	545
63	37	543
64	37	543
65	38	543
66	38	541
67	39	541
68	40	539
69	40	538
70	41	537
71	41	536
72	42	535
73	42	534
74	43	533
75	43	533
76	44	533
77	45	533
78	45	532
79	46	531
80	46	530
81	47	530
82	47	526
83	48	525
84	48	525
85	49	524
86	49	524
87	50	523
88	51	524
89	51	523
90	52	522
91	52	521
92	53	520
93	53	519
94	54	519
95	54	517
96	55	517
97	56	515
98	56	515
99	57	517
100	58	517
101	58	516
102	59	516
103	59	516
104	60	515
105	61	515
106	61	515
107	62	514
108	62	514
109	63	514
110	64	513
111	64	513
112	65	512
113	65	511
114	66	510
115	66	509
116	67	507
117	67	507
118	68	505
119	68	505
120	69	504
121	69	503
122	70	503
123	71	503
124	71	502
125	72	502
126	73	501
127	73	502
128	74	501
129	74	500
130	75	499
131	75	498
132	76	498
133	76	497
134	77	496
135	77	495
136	78	493
137	78	492
138	79	491
139	79	490
140	80	488
141	80	486
142	81	485
143	81	484
144	82	484
145	82	484
146	83	483
147	83	483
148	84	482
149	85	481
150	85	480
151	86	479
152	86	478
153	87	478
154	87	476
155	88	476
156	88	476
157	89	476
158	89	475
159	90	475
160	90	473
161	91	472
162	91	472
163	92	471
164	92	470
165	93	469
166	94	468
167	94	468
168	95	468
169	95	468
170	96	467
171	96	466
172	97	465
173	97	465
174	98	464
175	98	463
176	99	462
177	99	461
178	100	460
179	101	460
180	101	460
181	102	459
182	102	458
183	103	457
184	103	456
185	104	456
186	104	455
187	105	454
188	105	453
189	106	452
190	106	451
191	107	450
192	107	450
193	108	450
194	108	449
195	109	448
196	109	447
197	110	446
198	110	446
199	111	445
200	111	444
201	112	443
202	112	442
203	113	441
204	113	440
205	114	440
206	114	440
207	115	440
208	116	439
209	116	439
210	117	438
211	117	437
212	118	436
213	118	435
214	119	434
215	119	433
216	120	433
217	120	433
218	121	432
219	121	432
220	122	431
221	123	431
222	123	431
223	124	430
224	124	429
225	125	429
226	125	428
227	126	428
228	127	428
229	127	427
230	128	427
231	128	426
232	129	425
233	129	425
234	130	425
235	131	425
236	132	425
237	132	424
238	133	424
239	133	423
240	134	423
241	134	422
242	135	422
243	136	421
244	136	421
245	137	420
246	137	419
247	138	418
248	138	417
249	139	417
250	139	416
251	140	416
252	140	416
253	141	415
254	141	414
255	142	413
256	142	413
257	143	412
258	143	411
259	144	411
260	145	410
261	145	410
262	146	410
263	147	410
264	147	409
265	148	409
266	148	408
267	149	407
268	149	407
269	150	406
270	150	405
271	151	404
272	151	404
273	152	403
274	153	403
275	153	403
276	154	402
277	154	401
278	155	401
279	155	400
280	156	399
281	156	398
282	157	398
283	157	397
284	158	396
285	158	395
286	159	395
287	159	395
288	160	394
289	160	393
290	161	393
291	161	392
292	162	391
293	162	390
294	163	390
295	163	389
296	164	388
297	164	387
298	165	387
299	166	387
300	166	386
301	167	386
302	167	385
303	168	384
304	168	383
305	168	383
306	169	382
307	169	381
308	170	381
309	170	380
310	171	380
311	172	379
312	172	379
313	173	379
314	174	378
315	174	378
316	175	377
317	175	377
318	176	376
319	176	375
320	177	375
321	178	375
322	178	374
323	179	374
324	179	373
325	180	372
326	180	372
327	181	371
328	181	370
329	182	370
330	182	369
331	183	368
332	183	367
333	184	367
334	184	367
335	185	366
336	186	365
337	186	365
338	187	364
339	187	364
340	188	363
341	188	362
342	189	362
343	189	361
344	190	360
345	190	360
346	191	360
347	191	359
348	192	358
349	192	357
350	193	357
351	193	356
352	194	355
353	194	355
354	195	354
355	195	353
356	196	353
357	196	352
358	197	352
359	197	351
360	198	351
361	198	350
362	199	349
363	199	349
364	200	348
365	200	347
366	201	347
367	201	346
368	202	346
369	203	346
370	203	345
371	204	345
372	204	344
373	205	343
374	205	343
375	206	342
376	206	341
377	207	341
378	207	340
379	208	339
380	208	338
381	209	338
382	209	338
383	210	337
384	210	337
385	211	336
386	212	336
387	212	335
388	213	334
389	213	334
390	214	333
391	214	332
392	215	332
393	215	331
394	216	331
395	216	330
396	217	330
397	218	329
398	218	329
399	219	328
400	219	327
401	220	327
402	220	326
403	221	326
404	221	325
405	222	325
406	222	324
407	223	324
408	223	323
409	224	322
410	224	322
411	225	321
412	225	320
413	226	320
414	226	319
415	227	318
416	227	318
417	228	317
418	228	317
419	229	316
420	229	316
421	230	315
422	230	314
423	231	314
424	231	313
425	232	313
426	232	312
427	233	311
428	233	311
429	234	310
430	234	310
431	235	309
432	236	309
433	236	308
434	237	307
435	237	307
436	238	306
437	238	305
438	238	305
439	239	304
440	239	304
441	240	303
442	240	302
443	241	302
444	242	301
445	242	301
446	243	300
447	243	300
448	244	299
449	244	298
450	244	298
451	245	297
452	245	297
453	246	296
454	246	295
455	247	295
456	248	294
457	248	294
458	249	293
459	249	293
460	250	292
461	250	291
462	251	291
463	251	290
464	252	289
465	252	289
466	253	288
467	253	288
468	254	287
469	254	287
470	255	286
471	255	286
472	256	285
473	256	285
474	257	284
475	257	283
476	258	283
477	258	282
478	259	281
479	259	281
480	260	280
481	260	280
482	261	280
483	262	279
484	262	278
485	263	278
486	263	277
487	264	277
488	264	276
489	264	275
490	265	275
491	266	274
492	266	274
493	267	273
494	267	273
495	268	272
496	268	272
497	269	271
498	269	270
499	270	270
500	270	269
501	271	268
502	271	268
503	272	267
504	272	267
505	273	266
506	273	266
507	274	265
508	274	265
509	275	264
510	276	264
511	276	263
512	277	263
513	277	262
514	278	261
515	278	261
516	279	260
517	279	260
518	280	259
519	281	259
520	281	258
521	282	258
522	282	257
523	282	257
524	283	256
525	283	255
526	284	255
527	284	254
